Thomas University|64|Jacksonville|92
Missouri|42|Kansas St.|66
IUPUI|63|Kennesaw St.|71
Lafayette|75|La Salle|83
LSU|80|Marquette|81
Texas-Arlington|68|Memphis|64
Goldey-Beacom|62|Morgan St.|66
Milwaukee|63|Murray St.|66
Idaho|65|North Texas|63
San Diego Christian|65|Northern Ariz.|81
Notre Dame (CA)|44|Pacific|79
Duquesne|70|Pepperdine|84
NJIT|76|Providence|83
Creighton|85|Rutgers|75
Troy|79|Samford|83
East Carolina|54|San Diego St.|79
Eastern Wash.|52|Seattle|58
Belmont|98|South Ala.|85
Tulsa|75|South Carolina|83
Cal St. Northridge|61|Southern California|96
William Carey|84|Southern Miss.|78
Fort Valley St.|72|Stetson|101
St. Edward's|50|A&amp;M-Corpus Christi|78
UNLV|75|UCLA|77
St. John's (NY)|55|Vanderbilt|92
Drake|81|Western Ky.|79
Rochester (MI)|73|Western Mich.|85
North Dakota|69|Youngstown St.|79
Kansas|92|UCLA|73
Incarnate Word|63|Oklahoma|96
Kansas St.|70|North Carolina|80
St. John's (NY)|73|Indiana|83
St. Francis (NY)|41|Louisville|85
Boston U.|62|Kentucky|82
Illinois St.|66|Maryland|77
Marquette|78|Arizona St.|73
New Hampshire|88|Brown|77
Siena|83|Bucknell|81
Delaware St.|55|UC-Riverside|81
St. Bonaventure|77|Canisius|73
Binghamton|81|Central Conn. St.|75
UNLV|93|Chaminade|73
East Tenn. St.|76|Charleston So.|77
Southeastern La.|49|Cincinnati|64
Rider|52|Cleveland St.|57
Coastal Caro.|67|Col. of Charleston|61
Abilene Christian|100|Colorado St.|108
Wofford|59|Columbia|70
Fairleigh Dickinson|72|Delaware|73
Weber St.|74|Drake|58
Colgate|58|Fordham|84
Gardner-Webb|65|George Washington|94
Akron|63|Green Bay|66
Niagara|73|Hartford|77
South Dakota St.|92|Houston Baptist|68
Troy|63|Idaho|69
Roosevelt|58|Ill.-Chicago|96
South Ala.|78|IUPUI|68
Alabama A&amp;M|73|Jacksonville St.|69
East Mennonite|74|James Madison|106
Belmont|80|Kennesaw St.|55
St. Francis (PA)|60|Kent St.|79
Stony Brook|76|Loyola Maryland|63
Fairfield|113|Md.-East. Shore|74
Wheelock|76|Mass.-Lowell|104
IPFW|57|Miami (OH)|53
Duquesne|96|Milwaukee|92
Marshall|61|Morehead St.|85
Pepperdine|55|Murray St.|59
Ark.-Pine Bluff|44|Nebraska|67
Robert Morris|71|New Mexico St.|81
LSU|72|North Carolina St.|83
Samford|74|North Texas|72
Missouri|62|Northwestern|67
Louisiana Tech|82|Ohio St.|74
Valparaiso|63|Oregon St.|57
Radford|86|Penn St.|74
